start_station_name,Avg_ride_length,Avg_ride_length_Casual,Avg_ride_length_Member,Casual_riders,Member_riders,Electric_bike_riders,Classic_bike_riders,Total_riders
Kedzie Ave & Jackson Blvd,21.729629629629628,25.981818181818184,20.353921568627449,11,34,29,16,45
Pittsburgh Ave & Irving Park Rd,46.015925925925927,53.123888888888892,31.8,30,15,29,16,45
Pulaski Rd & 68th St,19.106296296296296,19.398,18.741666666666667,25,20,24,21,45
Public Rack - 111th St - Morgan Park Metra,6.1344696969696972,5.1888888888888882,6.2036585365853663,3,41,44,0,44
Lawndale Ave & 16th St,19.294696969696968,20.130701754385964,14,38,6,44,0,44
Public Rack - Ashland Ave & 91st St,15.033712121212123,10.216666666666667,15.145736434108528,1,43,44,0,44
Cicero Ave & Wellington Ave,20.032945736434115,20.06236559139785,19.956944444444442,31,12,14,29,43
Troy St & Jackson Blvd,14.608139534883719,13.50111111111111,15.201190476190478,15,28,43,0,43
Damen Ave & 51st St,14.026744186046511,16.095555555555553,9.2525641025641026,30,13,14,29,43
Kedzie Ave & 83rd St,19.139922480620157,19.67439024390244,8.1833333333333336,41,2,14,29,43
Public Rack - Jensen Park,8.08449612403101,11.202777777777778,6.8774193548387093,12,31,43,0,43
Commercial Ave & 100th St,22.481395348837211,16.255072463768116,29.641666666666666,23,20,22,21,43
Francisco Ave & 85th St,28.103875968992245,27.827083333333334,31.794444444444441,40,3,11,32,43
Public Rack - Jonathan Y Scammon Public School,13.088888888888887,14.567391304347828,11.299122807017543,23,19,42,0,42
Public Rack - Hiawatha & Mendota,18.545238095238094,22.517460317460323,14.573015873015875,21,21,42,0,42
Public Rack - California Ave & Devon Ave - NW,9.6630952380952362,6.6477777777777778,11.338271604938273,15,27,42,0,42
Ashland Ave & 74th St,45.794444444444444,67.020289855072463,20.1,23,19,10,32,42
Public Rack - Keystone Ave & Irving Park Rd,10.323983739837397,8.6009803921568633,11.544444444444444,17,24,41,0,41
Mason Ave & Grand Ave,20.658943089430888,20.083333333333332,21.027333333333335,16,25,16,25,41
Public Rack - Nashotah & Northwest Hwy,12.2130081300813,10.615079365079366,13.890833333333335,21,20,41,0,41
California Ave & Madison St,35.176016260162605,52.655,18.529365079365075,20,21,14,27,41
Public Rack - Pulaski & Rosemont,14.736991869918702,5.4261904761904756,16.65392156862745,7,34,41,0,41
Tripp Ave & 31st St,29.949583333333337,29.109770114942531,32.163636363636364,29,11,34,6,40
Fullerton & Monitor,22.746249999999996,24.77549019607843,11.247222222222222,34,6,40,0,40
Ashland Ave & 78th St,48.113333333333337,66.520833333333314,20.502083333333328,24,16,16,24,40
Public Rack - Austin Blvd & North Ave,10.750416666666666,9.4993589743589748,13.073809523809524,26,14,40,0,40
Public Rack - Menard Ave & Belmont Ave,21.523333333333333,15.111904761904761,24.975641025641028,14,26,40,0,40
Oketo Ave & Addison St,15.58034188034188,14.591145833333336,20.102380952380951,32,7,36,3,39
Public Rack - Austin Ave & Wrightwood Ave,3.8170940170940173,4.3979166666666663,3.4130434782608696,16,23,39,0,39
Public Rack - Milwaukee Ave & Lawrence Ave,12.262393162393161,12.537179487179486,12.125,13,26,39,0,39
Wellington Ave & Mulligan Ave,14.276923076923078,16.846153846153847,9.138461538461538,26,13,27,12,39
Stony Island Ave & 90th St,22.647008547008546,25.071666666666665,21.810919540229882,10,29,8,31,39
Public Rack - Springfield Ave & Lawrence Ave,13.726495726495726,10.966666666666667,16.348333333333333,19,20,39,0,39
Public Rack - Champlain Ave & 65th St,9.6508547008547,9.3,9.7276041666666675,7,32,39,0,39
Vincennes Ave & 75th St,32.660964912280704,33.639583333333334,27.441666666666666,32,6,4,34,38
Public Rack - Leamington & Elston,19.123684210526314,16.940196078431374,20.891269841269843,17,21,38,0,38
Public Rack - Nagel & Higgins,11.771052631578948,11.464516129032257,13.128571428571428,31,7,38,0,38
Eberhart Ave & 91st St,18.467105263157897,24.004347826086953,9.9766666666666666,23,15,14,24,38
Homewood Ave & 115th St,63.375438596491215,79.9344827586207,10.018518518518517,29,9,7,31,38
Kedzie Ave & 104th St,9.90921052631579,9.90921052631579,,38,0,38,0,38
Public Rack - Central Ave & Lawrence Ave,13.462719298245615,11.579166666666664,14.332051282051282,12,26,38,0,38
Bradley Park,29.503070175438591,30.876515151515154,27.614583333333332,22,16,14,24,38
Troy Ave & 27th St,8.1438596491228079,7.437356321839081,10.420370370370369,29,9,38,0,38
Halsted St & 104th St,41.480630630630621,42.665079365079372,39.92604166666667,21,16,17,20,37
Menard Ave & North Ave,20.181081081081082,15.687499999999996,34.161111111111119,28,9,37,0,37
Public Rack - Kimball Ave & Lawrence Ave,8.4564814814814824,9.8166666666666664,7.484920634920635,15,21,36,0,36
Narragansett & McLean,13.88425925925926,14.913194444444445,11.826388888888888,24,12,36,0,36
Elizabeth St & 92nd St,23.815740740740743,23.874358974358969,23.663333333333334,26,10,13,23,36
Spaulding Ave & 16th St,32.875925925925927,41.952083333333334,14.723611111111113,24,12,28,8,36
Public Rack - Jeffery Blvd & 67th St,19.218055555555555,10.812698412698412,30.985555555555553,21,15,36,0,36
